Date,Type,URL
2025-09-07,Total,https://www.timeanddate.com/eclipse/lunar/2025-september-7
2026-03-03,Total,https://www.timeanddate.com/eclipse/lunar/2026-march-3
2026-08-28,Partial,https://www.timeanddate.com/eclipse/lunar/2026-august-28
2027-02-20,Penumbral,https://www.timeanddate.com/eclipse/lunar/2027-february-20
2027-08-17,Penumbral,https://www.timeanddate.com/eclipse/lunar/2027-august-17
2028-01-12,Partial,https://www.timeanddate.com/eclipse/lunar/2028-january-12
2028-07-06,Partial,https://www.timeanddate.com/eclipse/lunar/2028-july-6
2028-12-31,Total,https://www.timeanddate.com/eclipse/lunar/2028-december-31
2029-06-26,Total,https://www.timeanddate.com/eclipse/lunar/2029-june-26
2029-12-20,Total,https://www.timeanddate.com/eclipse/lunar/2029-december-20
2030-06-15,Partial,https://www.timeanddate.com/eclipse/lunar/2030-june-15
2030-12-09,Penumbral,https://www.timeanddate.com/eclipse/lunar/2030-december-9
2031-05-07,Penumbral,https://www.timeanddate.com/eclipse/lunar/2031-may-7
2031-06-05,Penumbral,https://www.timeanddate.com/eclipse/lunar/2031-june-5
2031-10-30,Penumbral,https://www.timeanddate.com/eclipse/lunar/2031-october-30
2032-04-25,Total,https://www.timeanddate.com/eclipse/lunar/2032-april-25
2032-10-18,Total,https://www.timeanddate.com/eclipse/lunar/2032-october-18
2033-04-14,Total,https://www.timeanddate.com/eclipse/lunar/2033-april-14
